Sr.,Player,Runs,Ave,SR,T20 VALUE,T20_NORMALIZED,T20_PERCENTILE,T20_STANDARDIZED,T20_STANDARDIZED_SHIFTED,AVG,STDEV,SHIFT
1,Babar Azam,1720,52.12,137.93,329.73,1648.65706,0.997,7.349812666,7.784811127,84.18,212.8599715,0.4349984607
2,Muhammad Rizwan,1713,46.29,130.06,275.02,1375.077038,0.992,6.064554474,6.499552935,,,
3,Sahibzada Farhan,1685,37.44,142.07,239.00,1195.024646,0.989,5.218681995,5.653680456,,,
4,Shoaib Malik,1589,38.75,132.97,218.33,1091.661538,0.986,4.733089954,5.168088415,,,
5,Fakhar Zaman,1582,35.15,143.81,213.25,1066.251442,0.984,4.613715248,5.048713709,,,
6,Iftikhar Ahmed,1390,49.64,159.22,292.96,1464.815508,0.995,6.486139,6.921137461,,,
7,Kamran Ghulam,1335,31.78,128.86,145.79,728.9404024,0.973,3.029053571,3.464052032,,,
8,Azam Khan,1261,30.02,153.03,154.48,772.3979089,0.978,3.23321364,3.668212101,,,
9,Shan Masood,1253,26.1,124.05,108.18,540.912582,0.956,2.145713134,2.580711595,,,
10,Mohammad Haris,1171,23.89,154.07,114.94,574.6850031,0.962,2.304373406,2.739371867,,,
11,Saim Ayub,1102,31.48,159.01,147.10,735.4946066,0.975,3.059844726,3.494843186,,,
12,Tayyab Tahir,1044,37.28,134.7,139.80,699.0089472,0.967,2.888437865,3.323436326,,,
13,Sharjeel Khan,1038,26.61,137.84,101.53,507.6404602,0.953,1.989403229,2.42440169,,,
14,Hussain Talat,1029,27.81,125.94,96.11,480.5281001,0.948,1.862031418,2.297029879,,,
15,Abdullah Shafique,1025,26.97,131.41,96.87,484.364119,0.951,1.880052744,2.315051205,,,
16,Shadab Khan,845,27.25,147.46,90.55,452.7267767,0.945,1.73142291,2.16642137,,,
17,Haider Ali,811,26.16,134.27,75.96,379.8186794,0.94,1.388906199,1.82390466,,,
18,Omair Bin Yousuf,779,38.95,134.54,108.86,544.2959209,0.959,2.161607803,2.596606264,,,
19,Imad Wasim,756,39.78,154.91,124.23,621.1618358,0.964,2.522718041,2.957716502,,,
20,Ahmed Shehzad,756,32.86,129.01,85.46,427.3182749,0.942,1.612055696,2.047054156,,,
21,Saud Shakil,752,27.85,132.86,74.20,371.0018069,0.937,1.347485201,1.782483662,,,
22,Sarfraz Ahmed,743,28.57,117.37,66.44,332.1963798,0.934,1.165180248,1.600178709,,,
23,Mohammad Nawaz,682,26.23,135.58,64.68,323.3828852,0.931,1.123775119,1.558773579,,,
24,Khushdil Shah,670,22.33,135.9,54.22,271.095132,0.926,0.8781312204,1.313129681,,,
25,Abdul Wahid Bangalzai,656,26.24,115.28,52.92,264.5820484,0.92,0.8475332478,1.282531709,,,
26,Qasim Akram,652,22.48,125.86,49.19,245.9633314,0.915,0.7600639276,1.195062388,,,
27,Usman Khan,597,74.62,172.54,204.97,1024.84481,0.981,4.419190033,4.854188494,,,
28,Mohammad Ikhlaq,582,19.4,133.18,40.10,200.4944992,0.879,0.5464548028,0.9814532636,,,
29,Umar Amin,555,25.22,118.84,44.36,221.7887152,0.901,0.6464934144,1.081491875,,,
30,Salman Ali Agha,540,22.5,125.29,40.59,202.9698,0.885,0.5580835782,0.993082039,,,
31,Zeeshan Malik,531,26.55,124.64,46.86,234.2907936,0.907,0.7052272304,1.140225691,,,
32,Khurram Manzoor,524,22.78,119.9,38.17,190.8283637,0.874,0.5010440316,0.9360424924,,,
33,Faheem Ashraf,518,21.58,147.57,43.99,219.9469854,0.898,0.6378411077,1.072839568,,,
34,Sohaib Maqsood,516,24.57,126.47,42.76,213.7869115,0.896,0.6089015476,1.043900008,,,
35,Asif Ali,500,19.23,147.92,37.93,189.63344,0.871,0.4954303706,0.9304288313,,,
36,Nasir Nawaz,485,22.04,122.47,34.91,174.5507757,0.863,0.4245731579,0.8595716187,,,
37,Irfan Khan Niazi,485,30.31,136.61,53.55,267.7619751,0.923,0.8624723023,1.297470763,,,
38,Haseebullah Khan,481,21.86,123.01,34.49,172.4544435,0.857,0.4147247483,0.8497232091,,,
39,Mohammad Hafeez,458,28.62,134.31,46.95,234.7373477,0.909,0.7073251076,1.142323568,,,
40,Sajjad Ali,444,34.15,142.76,57.72,288.6150368,0.929,0.9604384042,1.395436865,,,
41,Mirza Baig,437,27.31,127.03,40.43,202.1380965,0.882,0.5541762985,0.9891747592,,,
42,Adil Amin,433,28.86,123.36,41.11,205.5404582,0.89,0.5701603357,1.005158796,,,
43,Anwar Ali,426,23.66,147.91,39.75,198.7744741,0.876,0.5383742553,0.973372716,,,
44,Aamer Jamal,394,26.26,166.24,45.87,229.3322914,0.904,0.6819325632,1.116931024,,,
45,Mohammad Huraira,393,30.23,132.32,41.92,209.6017606,0.893,0.5892400263,1.024238487,,,
46,Zain Abbas,390,30,130.43,40.69,203.4708,0.887,0.5604372382,0.995435699,,,
47,Danish Aziz,380,17.27,107.34,18.78,93.9239312,0.799,0.04579435816,0.4807928189,,,
48,Aamer Yamin,375,18.75,153.06,28.70,143.49375,0.843,0.2786696068,0.7136680676,,,
49,Asad Shafiq,368,21.64,125.17,26.58,132.9058398,0.827,0.2289284078,0.6639268685,,,
50,Ali Imran,358,27.53,139.29,36.61,183.0408033,0.868,0.4644586633,0.8994571241,,,
51,Aamer Azmat,350,21.87,134.61,27.48,137.382966,0.832,0.2499616071,0.6849600679,,,
52,Yasir Khan,350,35,144.62,47.24,236.2126667,0.912,0.7142560442,1.149254505,,,
53,Rehan Afridi,348,26.76,127.94,31.77,158.8584922,0.852,0.350852,0.7858504608,,,
54,Ammad Alam,327,25.15,130.8,28.69,143.427432,0.841,0.2783580499,0.7133565106,,,
55,Mubasir Khan,316,13.16,114.07,12.65,63.24892523,0.755,-0.09831449308,0.3366839677,,,
56,Imran Butt,315,28.63,131.79,31.69,158.4722034,0.849,0.3490372447,0.7840357055,,,
57,Shaheen Shah Afridi,309,20.6,158.46,26.90,134.4881712,0.83,0.2363620807,0.6713605415,,,
58,Umar Akmal,309,19.31,136.12,21.66,108.2932606,0.821,0.1133003779,0.5482988386,,,
59,Haris Sohail,308,30.8,134.49,34.02,170.1101248,0.854,0.4037113167,0.8387097774,,,
60,Israrullah,306,21.85,139.72,24.91,124.5575856,0.824,0.1897089429,0.6247074036,,,
61,Sharoon Siraj,301,27.36,128.63,28.25,141.2419142,0.838,0.2680906532,0.703089114,,,
62,Sohail Tanvir,298,29.8,146.79,34.76,173.8071888,0.86,0.4210798429,0.8560783037,,,
63,Ahsan Ali,289,26.27,138.27,27.99,139.9666651,0.835,0.2620996294,0.6970980902,,,
64,Mohammad Sarwar,285,20.35,139.7,21.61,108.03001,0.819,0.1120636464,0.5470621071,,,
65,Kamran Akmal,278,21.38,124.66,19.76,98.79122165,0.81,0.06866051951,0.5036589802,,,
66,Samiullah,277,34.62,117.87,30.14,150.7123538,0.846,0.3125820601,0.7475805208,,,
67,Yasir Khan,270,20.76,126.16,18.86,94.2869376,0.802,0.0474997347,0.4824981954,,,
68,Rohail Nazir,252,14.82,109.56,10.91,54.55562112,0.745,-0.1391549764,0.2958434844,,,
69,Kashif Bhatti,247,22.45,114.88,16.99,84.93691093,0.786,0.003574018652,0.4385724794,,,
70,Amad Butt,241,18.53,152.53,18.16,90.82103959,0.794,0.03121720873,0.4662156695,,,
71,Umar Siddiq,238,21.63,130.76,17.95,89.75261792,0.791,0.02619784479,0.4611963055,,,
72,Faizan Khan,231,33,176.33,35.84,179.221812,0.865,0.446517332,0.8815157927,,,
73,Saad Khan,223,22.3,118.61,15.73,78.64475587,0.777,-0.02598604857,0.4090124122,,,
74,Khalid Usman,220,24.44,132.53,19.00,95.01164053,0.805,0.05090433411,0.4859027948,,,
75,Zeeshan Ashraf,200,11.11,111.11,6.58,32.91818933,0.687,-0.2408059896,0.1941924711,,,
76,Mohammad Imran,200,14.28,113.63,8.65,43.270304,0.717,-0.1921725401,0.2428259206,,,
77,Salman Khan,198,33,121.47,21.16,105.824664,0.816,0.1017030981,0.5367015589,,,
78,Hassan Khan,194,16.16,113.45,9.48,47.42270507,0.728,-0.1726648749,0.2623335858,,,
79,Khawaja Nafay,182,22.75,122.14,13.49,67.42942267,0.766,-0.07867483322,0.3563236275,,,
80,Hasan Nawaz,180,15,115.38,8.31,41.5368,0.714,-0.2003164104,0.2346820503,,,
81,Sohail Akhtar,176,35.2,118.91,19.64,98.22283093,0.808,0.06599026302,0.5009887238,,,
82,Mohammad Faiq,173,173,182.1,145.34,726.67612,0.97,3.018416144,3.453414605,,,
83,Mohammad Suleman,168,42,110.52,20.80,103.977216,0.813,0.09302392757,0.5280223883,,,
84,Umaid Asif,166,13.83,144.34,8.84,44.18305136,0.723,-0.1878845223,0.2471139384,,,
85,Imam-ul-Haq,161,26.83,118.38,13.64,68.18103992,0.769,-0.07514379237,0.3598546684,,,
86,Hassan Ali,161,12.38,121.96,6.48,32.41176437,0.681,-0.2431851357,0.1918133251,,,
87,Mohammad Ilyas,160,22.85,160,15.60,77.99466667,0.775,-0.02904011832,0.4059583424,,,
88,Mohammad Wasim,157,13.08,121.7,6.66,33.3224336,0.69,-0.2389068807,0.19609158,,,
89,Rizwan Hussain,156,17.33,109.85,7.92,39.5969704,0.706,-0.2094295828,0.225568878,,,
90,Saad Nasim,155,31,119.23,15.28,76.38668667,0.772,-0.03659428639,0.3984041744,,,
91,Jahandad Khan,154,17.11,187.8,13.20,65.9788976,0.764,-0.08548928995,0.3495091708,,,
92,Mohammad Taha,152,25.33,107.04,10.99,54.94948352,0.747,-0.1373046407,0.2976938201,,,
93,Ashir Mehmood,150,30,145.63,17.48,87.378,0.788,0.01504206992,0.4500405307,,,
94,Junaid Ali,149,29.8,141.9,16.80,84.008584,0.783,-0.000787190864,0.4342112699,,,
95,Bismillah Khan,146,14.6,118.69,6.75,33.73328053,0.692,-0.236976753,0.1980217078,,,
96,Afaq Ahmed,131,21.83,136.45,10.41,52.02802113,0.742,-0.1510294494,0.2839690114,,,
97,Hammad Siddque,126,126,120,50.80,254.016,0.918,0.7978947538,1.232893215,,,
98,Atizaz Habib Khan,124,41.33,133.33,18.22,91.10741115,0.797,0.0325625606,0.4675610213,,,
99,Mohammad Faizan,120,30,123.71,11.88,59.3808,0.75,-0.116486652,0.3185118088,,,
100,Moinuddin,119,19.83,140,8.81,44.04904,0.72,-0.1885140975,0.2464843632,,,
101,Mohammad Shahid,116,38.66,138.09,16.51,82.56971872,0.78,-0.007546870806,0.4274515899,,,
102,Zubair Khan,113,28.25,116.49,9.92,49.582027,0.734,-0.1625205443,0.2724779165,,,
103,Sohail Khan,112,16,119.14,5.69,28.46651733,0.665,-0.261719607,0.1732788538,,,
104,Sarmad Bhatti,109,36.33,123.86,13.08,65.39758456,0.761,-0.08822025452,0.3467782062,,,
105,Jahanzaib Sultan,105,26.25,110.52,8.12,40.6161,0.709,-0.2046417892,0.2303566715,,,
106,Imran Dogar,101,25.25,146.37,9.95,49.770679,0.736,-0.1616342715,0.2733641893,,,
107,Wahab Riaz,97,6.46,108.98,1.82,9.105206347,0.569,-0.3526775774,0.08232088336,,,
108,Usama Mir,97,8.08,161.66,3.38,16.89368555,0.621,-0.3160878929,0.1189105679,,,
109,Ahmed Khan,97,13.85,98.97,3.55,17.7281662,0.64,-0.3121675661,0.1228308947,,,
110,Raza-ul-Mustafa,97,32.33,118.29,9.89,49.46114972,0.731,-0.1630884166,0.2719100442,,,
111,Basit Ali,96,24,106.66,6.55,32.765952,0.684,-0.2415211891,0.1934772717,,,
112,Kashif Noor,96,19.2,126.31,6.21,31.0419456,0.676,-0.2496204403,0.1853780204,,,
113,Naseem Shah,95,8.63,139.7,3.05,15.27107267,0.604,-0.3237108051,0.1112876556,,,
114,Asif Afridi,89,9.88,121.91,2.86,14.29305349,0.602,-0.328305465,0.1066929957,,,
115,Usman Maroof,89,29.66,132.83,9.35,46.75155523,0.725,-0.175817886,0.2591805748,,,
116,Nabi Gul,87,14.5,97.75,3.29,16.44155,0.615,-0.3182119914,0.1167864694,,,
117,Salahuddin,87,43.5,126.08,12.72,63.619968,0.758,-0.09657136228,0.3384270985,,,
118,Shahab Khan,86,17.2,153.57,6.06,30.2880992,0.67,-0.2531619536,0.1818365072,,,
119,Fahad Hussain,83,20.75,140.67,6.46,32.302521,0.679,-0.2436983527,0.191300108,,,
120,Tayyab Ali Shah,80,20,91.95,3.92,19.616,0.648,-0.3032986661,0.1316997947,,,
121,Abdul Samad,79,26.33,127.41,7.07,35.33622916,0.698,-0.2294462219,0.2055522388,,,
122,Salman Khan,78,13,89.65,2.42,12.12068,0.591,-0.3385111109,0.09648734985,,,
123,Momin Waqar,78,19.5,152.94,6.20,31.016232,0.673,-0.2497412409,0.1852572198,,,
124,Aun Shehzad,77,38.5,150.98,11.94,59.67736133,0.753,-0.1150934293,0.3199050314,,,
125,Shahid Aziz,75,12.5,136.36,3.41,17.045,0.624,-0.3153770291,0.1196214317,,,
126,Nasir Khan,74,18.5,98.66,3.60,18.00873867,0.643,-0.3108494579,0.1241490028,,,
127,Umar Khalid,74,18.5,91.35,3.33,16.67442,0.618,-0.3171179858,0.117880475,,,
128,Mohammad Shehzad,70,17.5,104.47,3.41,17.06343333,0.626,-0.3152904307,0.1197080301,,,
129,Imtiaz Legari,67,22.33,124.07,4.95,24.74964903,0.662,-0.2791811724,0.1558172884,,,
130,Mohammad Irfan,67,33.5,136.73,8.18,40.91873133,0.712,-0.2032200502,0.2317784106,,,
131,Haris Rauf,66,7.33,113.79,1.47,7.33991016,0.533,-0.360970805,0.07402765578,,,
132,Daniyal Hussain,66,22,115.78,4.48,22.415008,0.657,-0.2901491388,0.1448493219,,,
133,Bilal Asif,66,13.2,132,3.07,15.33312,0.607,-0.3234193114,0.1115791493,,,
134,Musadiq Ahmed,65,13,122.64,2.76,13.81744,0.599,-0.3305398611,0.1044585996,,,
135,Naved Malik,65,21.66,94.2,3.54,17.683224,0.635,-0.3123787011,0.1226197596,,,
136,Mohammad Amir,64,12.8,142.22,3.11,15.53421653,0.61,-0.3224745752,0.1125238856,,,
137,Mir Hamza,61,30.5,119.6,5.93,29.66877333,0.668,-0.2560714995,0.1789269612,,,
138,Rizwan Mehmood,61,15.25,87.14,2.16,10.80826467,0.58,-0.3446767386,0.09032172217,,,
139,Abbas Afridi,59,7.37,151.28,1.75,8.770810987,0.566,-0.3542485414,0.08074991933,,,
140,Abbas Ali,59,14.75,109.25,2.54,12.67664167,0.596,-0.3358992451,0.09909921559,,,
141,Usman Qadir,58,19.33,120.83,3.61,18.06231283,0.646,-0.3105977706,0.1244006902,,,
142,Rumman Raees,57,11.4,139.02,2.41,12.0446928,0.588,-0.338868093,0.09613036775,,,
143,Ahsan Hafeez,56,11.2,140,2.34,11.70773333,0.585,-0.340451103,0.09454735774,,,
144,Fazal Subhan,56,56,88.88,7.43,37.16369067,0.703,-0.2208609464,0.2141375144,,,
145,Saifullah Bangash,55,55,127.9,10.32,51.58633333,0.739,-0.1531044651,0.2818939956,,,
146,Hamza Nazar,53,13.25,112.76,2.11,10.55809467,0.577,-0.3458520183,0.08914644248,,,
147,Mohammad Arif,52,26,110.63,3.99,19.94290133,0.651,-0.3017629084,0.1332355523,,,
148,Rehman Khan,52,52,100,7.21,36.05333333,0.701,-0.2260773209,0.2089211398,,,
149,Yasir Shah,51,8.5,130.76,1.51,7.557928,0.538,-0.3599465737,0.07505188706,,,
150,Hasan Mohsin,51,12.75,86.44,1.50,7.494348,0.536,-0.3602452677,0.07475319304,,,
151,Musa Khan,51,25.5,102,3.54,17.6868,0.637,-0.3123619013,0.1226365594,,,
152,Taimoor Sultan,51,12.75,91.07,1.58,7.895769,0.544,-0.3583594223,0.07663903845,,,
153,Mehran Mumtaz,50,5.55,116.27,0.86,4.30199,0.478,-0.3752427234,0.05975573731,,,
154,Ali Waqas,50,16.66,111.11,2.47,12.34061733,0.593,-0.337477862,0.09752059876,,,
155,Zahid Mahmood,48,9.6,87.27,1.07,5.3618688,0.505,-0.3702634932,0.06473496752,,,
156,Mohammad Waleed,45,45,125,6.75,33.75,0.695,-0.2368982062,0.1981002545,,,
157,Mohammad Deen,44,14.66,125.71,2.16,10.81173045,0.582,-0.3446604566,0.09033800417,,,
158,Kashif Ali,43,21.5,130.3,3.21,16.06164667,0.613,-0.3199967484,0.1150017123,,,
159,Jalat Khan,43,14.33,97.72,1.61,8.028544907,0.555,-0.3577356511,0.07726280959,,,
160,Ghulam Raza,42,10.5,77.77,0.91,4.572876,0.484,-0.3739701215,0.06102833919,,,
161,Asif Mehmood,41,,136.66,0.00,0,0.003,-0.3954531461,0.03954531461,,,
162,Shoaib Ahmed,41,13.66,141.37,2.11,10.55675763,0.574,-0.3458582996,0.08914016117,,,
163,Mushtaq Ahmed,41,20.5,157.69,3.53,17.67179267,0.632,-0.3124324046,0.1225660561,,,
164,Maaz Khan,40,13.33,121.21,1.72,8.617222933,0.563,-0.3549700864,0.0800283743,,,
165,Shawaiz Irfan,40,20,97.56,2.08,10.4064,0.571,-0.3465646683,0.08843379245,,,
166,Hashim Ibraheem,40,13.33,111.11,1.58,7.899180267,0.547,-0.3583433964,0.07665506432,,,
167,Usman Shinwari,39,9.75,97.5,0.99,4.94325,0.495,-0.3722301326,0.06276832815,,,
168,Mohammad Umar,38,12.66,79.16,1.02,5.07763904,0.5,-0.3715987831,0.06339967766,,,
169,Bahadur Ali,37,37,123.33,4.50,22.511836,0.659,-0.2896942482,0.1453042125,,,
170,Yousuf Babar,36,36,124.13,4.29,21.449664,0.654,-0.2946842517,0.140314209,,,
