Sr.,Player,Runs,Ave,SR,T20 VALUE,T20_NORMALIZED,T20_PERCENTILE,T20_STANDARDIZED,T20_STANDARDIZED_SHIFTED,AVG,STDEV,SHIFT
171,Mohammad Sheharyar,36,18,97.29,1.68,8.405856,0.558,-0.3559630723,0.07903538848,,,
172,Akbar-ur-Rehman,35,17.5,97.22,1.59,7.939633333,0.549,-0.358153351,0.07684510976,,,
173,Khurram Shehzad,35,11.66,89.74,0.98,4.883052533,0.492,-0.3725129357,0.06248552502,,,
174,Sameen Gul,33,11,89.18,0.86,4.316312,0.481,-0.3751754398,0.05982302098,,,
175,Aaqib Liaquat,33,16.5,91.66,1.33,6.654516,0.522,-0.3641907347,0.07080772601,,,
176,Aftab Ibrahim,33,8.25,132,0.96,4.7916,0.489,-0.3729425728,0.06205588795,,,
177,Faraz Aziz,33,16.5,75,1.09,5.445,0.511,-0.3698729491,0.06512551159,,,
178,Hasan Rizwan,33,16.5,110,1.60,7.986,0.552,-0.3579355239,0.07706293684,,,
179,Mohammad Hasnain,32,10.66,82.05,0.75,3.7318528,0.473,-0.3779211847,0.05707727599,,,
180,Saif Badar,32,10.66,128,1.16,5.821781333,0.514,-0.368102859,0.06689560171,,,
181,Farmanullah Khan,32,10.66,69.56,0.63,3.163774293,0.451,-0.3805899745,0.05440848626,,,
182,Abdul Faseeh,32,10.66,128,1.16,5.821781333,0.514,-0.368102859,0.06689560171,,,
183,Mohammad Shahid,31,7.75,96.87,0.62,3.103069,0.448,-0.3808751633,0.05412329739,,,
184,Akif Javed,30,10,130.43,1.04,5.2172,0.503,-0.3709431363,0.06405532447,,,
185,Sajjad Ibraheem,30,15,115.38,1.38,6.9228,0.527,-0.3629303568,0.07206810389,,,
186,Fardeen Sheikh,29,9.66,96.66,0.72,3.61044432,0.462,-0.3784915526,0.05650690816,,,
187,Faraz Ali,28,14,147.36,1.54,7.702016,0.541,-0.3592696592,0.07572880155,,,
188,Hunain Shah,28,3.5,116.66,0.30,1.524357333,0.398,-0.388291831,0.04670662974,,,
189,Anees Azam,28,9.33,103.7,0.72,3.6120784,0.464,-0.3784838758,0.05651458495,,,
190,Zaman Khan,27,3.85,65.85,0.18,0.912681,0.352,-0.39116544,0.04383302072,,,
191,Ahmed Daniyal,27,9,108,0.70,3.4992,0.456,-0.37901417,0.05598429078,,,
192,Mohammad Ali,27,27,87.09,1.69,8.465148,0.56,-0.3556845229,0.0793139378,,,
193,Waqas Maqsood,26,4.33,96.29,0.29,1.445377093,0.385,-0.3886628742,0.04633558656,,,
194,Ali Asfand,26,13,68.42,0.62,3.083461333,0.445,-0.3809672787,0.05403118206,,,
195,Mohammad Shehzad,26,8.66,72.22,0.43,2.168140693,0.429,-0.3852673856,0.04973107513,,,
196,Mohsin Raza,25,8.33,59.52,0.33,1.652672,0.407,-0.3876890184,0.04730944231,,,
197,Fayyaz Khan,25,25,208.33,3.47,17.36083333,0.629,-0.313893268,0.1211051927,,,
198,Faizan Zafar,25,8.33,60.97,0.34,1.692933667,0.409,-0.3874998722,0.04749858856,,,
199,Sarmad Hameed Bhatti,24,12,85.71,0.66,3.291264,0.453,-0.3799910375,0.05500742323,,,
200,Niaz Khan,24,12,171.42,1.32,6.582528,0.519,-0.3645289289,0.07046953185,,,
201,Ahmed Safi,23,11.5,104.54,0.74,3.686777333,0.47,-0.3781329459,0.05686551487,,,
202,Azaz Khan,23,5.75,109.52,0.39,1.931202667,0.415,-0.3863805025,0.04861795825,,,
203,Arshad Iqbal,22,5.5,84.61,0.27,1.365041333,0.374,-0.3890402855,0.04595817525,,,
204,Mohammad Imran,22,3.66,122.22,0.26,1.31215392,0.371,-0.3892887465,0.0457097142,,,
205,Azan Tariq,22,7.33,84.61,0.36,1.819227813,0.412,-0.3869065519,0.04809190888,,,
206,Ali Zaryab,22,22,110,1.42,7.098666667,0.53,-0.3621041486,0.07289431215,,,
207,Zia-ul-Haq,21,7,110.52,0.43,2.166192,0.426,-0.3852765404,0.04972192031,,,
208,Nisar Ahmad,21,5.25,100,0.29,1.47,0.387,-0.3885471976,0.04645126311,,,
209,Habibullah,21,21,91.3,1.07,5.36844,0.508,-0.3702326222,0.06476583852,,,
210,Umair Masood,20,10,153.84,0.82,4.1024,0.475,-0.3761803821,0.05881807863,,,
211,Mohammad Hammad Khan,20,,125,0.00,0,0.003,-0.3954531461,0.03954531461,,,
212,Syed Zainullah,19,19,76,0.73,3.658133333,0.467,-0.3782675132,0.05673094753,,,
213,Abrar Ahmed,18,3,78.26,0.11,0.563472,0.321,-0.3928059974,0.04219246333,,,
214,Hidayatullah,18,9,69.23,0.30,1.495368,0.393,-0.3884280207,0.04657044005,,,
215,Arif Yaqoob,18,9,64.28,0.28,1.388448,0.379,-0.3889303227,0.046068138,,,
216,Ali Asghar,18,18,69.23,0.60,2.990736,0.442,-0.3814028953,0.05359556548,,,
217,Hanan Achakzai,18,6,54.54,0.16,0.785376,0.341,-0.3917635092,0.04323495149,,,
218,Asif Ali,18,18,81.81,0.71,3.534192,0.459,-0.3788497802,0.05614868055,,,
219,Zafar Gohar,17,8.5,80.95,0.31,1.559636667,0.404,-0.3881260914,0.04687236937,,,
220,Mohammad Afzal,17,8.5,106.25,0.41,2.047083333,0.42,-0.3858361039,0.04916235683,,,
221,Azam Khan (2),17,5.66,68,0.17,0.8723946667,0.349,-0.3913547022,0.04364375858,,,
222,Mohammad Aqeel,17,8.5,77.27,0.30,1.488735333,0.39,-0.3884591805,0.04653928028,,,
223,Saad Masood,16,16,200,1.37,6.826666667,0.525,-0.363381984,0.07161647678,,,
224,Mohammad Riaz,16,5.33,72.72,0.17,0.82687488,0.343,-0.3915685507,0.04342991008,,,
225,Syed Hashim Shah,16,8,84.21,0.29,1.437184,0.382,-0.3887013647,0.04629709603,,,
226,Mehroz Rasheed,16,8,114.28,0.39,1.950378667,0.418,-0.3862904151,0.04870804564,,,
227,Zahoor Ahmed,15,5,115.38,0.23,1.1538,0.363,-0.3900326812,0.04496577949,,,
228,Ali Shan,15,7.5,78.94,0.24,1.1841,0.365,-0.3898903341,0.04510812659,,,
229,Mohammad Naeem,15,7.5,100,0.30,1.5,0.396,-0.3884062599,0.04659220083,,,
230,Imran Khan,15,15,166.66,1.00,4.9998,0.497,-0.371964465,0.06303399576,,,
231,Awais Akram,14,7,50,0.13,0.6533333333,0.327,-0.3923838357,0.04261462505,,,
232,Ali Imran,14,7,116.66,0.30,1.524357333,0.398,-0.388291831,0.04670662974,,,
233,Nadeem Khalil,13,6.5,68.42,0.15,0.7708653333,0.335,-0.3918316793,0.04316678148,,,
234,Jawad Ali,13,13,92.85,0.42,2.09222,0.423,-0.3856240553,0.04937440547,,,
235,Israr-ul-Haq,13,6.5,76.47,0.17,0.861562,0.346,-0.3914055932,0.04359286754,,,
236,Abubakar Khan,13,13,100,0.45,2.253333333,0.434,-0.384867157,0.05013130369,,,
237,Umar Khan,12,12,240,0.92,4.608,0.486,-0.3738051117,0.06119334908,,,
238,Asad Ali,12,12,150,0.58,2.88,0.44,-0.3819231246,0.05307533615,,,
239,Shehzad Gul,12,6,60,0.12,0.576,0.324,-0.3927471418,0.04225131892,,,
240,Gohar Faiz,12,6,100,0.19,0.96,0.354,-0.3909431389,0.04405532179,,,
241,Sami Hasan,12,,109.09,0.00,0,0.003,-0.3954531461,0.03954531461,,,
242,Ali Majid,11,,84.61,0.00,0,0.003,-0.3954531461,0.03954531461,,,
243,Mohammad Rameez,11,11,61.11,0.20,0.985908,0.357,-0.3908214251,0.04417703561,,,
244,Faisal Akram,10,3.33,50,0.04,0.222,0.297,-0.394410207,0.04058825377,,,
245,Sufiyan Muqeem,10,,83.33,0.00,0,0.003,-0.3954531461,0.03954531461,,,
246,Basit Ali,10,10,58.82,0.16,0.7842666667,0.338,-0.3917687208,0.04322973992,,,
247,Abdul Rauf,10,5,83.33,0.11,0.5555333333,0.319,-0.3928432927,0.04215516807,,,
248,Mohammad Javed,10,10,83.33,0.22,1.111066667,0.36,-0.3902334392,0.04476502153,,,
249,Rameez Aziz,10,10,90.9,0.24,1.212,0.368,-0.3897592621,0.04523919868,,,
250,Mohammad Naveed,10,3.33,90.9,0.08,0.403596,0.31,-0.3935570827,0.04144137801,,,
251,Salman Fayyaz,10,10,166.66,0.44,2.222133333,0.431,-0.3850137323,0.04998472846,,,
252,Imran Khan,9,4.5,100,0.11,0.54,0.316,-0.3929162671,0.04208219365,,,
253,Mohammad Haider,9,4.5,56.25,0.06,0.30375,0.302,-0.3940261517,0.04097230907,,,
254,Sher Afzal,9,9,64.28,0.14,0.694224,0.33,-0.3921917344,0.0428067263,,,
255,Akbar Khan,9,2.25,64.28,0.03,0.173556,0.28,-0.3946377932,0.04036066754,,,
256,Muneeb Wasif,9,2.25,69.23,0.04,0.186921,0.286,-0.3945750054,0.04042345529,,,
257,Abdul Hadi,9,4.5,64.28,0.07,0.347112,0.305,-0.3938224403,0.04117602046,,,
258,Salman Khan,9,9,64.28,0.14,0.694224,0.33,-0.3921917344,0.0428067263,,,
259,Dilbar Hussain,8,8,266.66,0.46,2.275498667,0.437,-0.384763026,0.05023543474,,,
260,Saqib Khan,8,,160,0.00,0,0.003,-0.3954531461,0.03954531461,,,
261,Arham Nawab,8,8,160,0.27,1.365333333,0.376,-0.3890389137,0.04595954705,,,
262,Zaid Alam,8,4,42.1,0.04,0.1796266667,0.283,-0.3946092737,0.04038918707,,,
263,Shahnawaz Dhani,7,7,58.33,0.08,0.3810893333,0.308,-0.3936628173,0.04133564339,,,
264,Salman Irshad,7,3.5,33.33,0.02,0.108878,0.266,-0.3949416455,0.0400568152,,,
265,Raja Farhan Khan,7,3.5,63.63,0.04,0.207858,0.291,-0.394476645,0.04052181573,,,
266,Mohammad Wasim,7,3.5,63.63,0.04,0.207858,0.291,-0.394476645,0.04052181573,,,
267,Nadeem Ahmed,7,2.33,50,0.02,0.1087333333,0.264,-0.3949423252,0.04005613556,,,
268,Ayaz Tasawwar,6,3,37.5,0.02,0.09,0.25,-0.395030333,0.03996812779,,,
269,Adil Naz,6,,200,0.00,0,0.003,-0.3954531461,0.03954531461,,,
270,Khurram Ali Shah,6,,200,0.00,0,0.003,-0.3954531461,0.03954531461,,,
271,Asif Ali,6,6,42.85,0.04,0.20568,0.288,-0.3944868771,0.04051158365,,,
272,Arsal Sheikh,6,3,50,0.02,0.12,0.269,-0.3948893952,0.04010906551,,,
273,Junaid Khan,5,1.66,50,0.01,0.05533333333,0.242,-0.3951931943,0.03980526642,,,
274,Aftab Ahmed,5,,62.5,0.00,0,0.003,-0.3954531461,0.03954531461,,,
275,Mustafa Nasir,5,5,125,0.08,0.4166666667,0.313,-0.3934956777,0.04150278301,,,
276,Syed Faraz,5,2.5,27.77,0.01,0.04628333333,0.236,-0.3952357105,0.0397627502,,,
277,Mohsin Ali,5,5,83.33,0.06,0.2777666667,0.299,-0.3941482194,0.04085024134,,,
278,Tariq Nawaz,5,2.5,50,0.02,0.08333333333,0.247,-0.3950616524,0.03993680829,,,
279,Shahid Afridi,4,4,50,0.02,0.1066666667,0.258,-0.3949520342,0.04004642652,,,
280,Mohammad Umar,4,2,33.33,0.01,0.035552,0.225,-0.3952861255,0.03971233521,,,
281,Faizan Saleem,4,2,57.14,0.01,0.06094933333,0.245,-0.3951668108,0.03983164996,,,
282,Afnan Khan,4,4,66.66,0.03,0.142208,0.272,-0.3947850637,0.04021339701,,,
283,Shayan Sheikh,4,,400,0.00,0,0.003,-0.3954531461,0.03954531461,,,
284,Mohammad Junaid,4,1.33,40,0.01,0.02837333333,0.223,-0.3953198504,0.03967861038,,,
285,Naveed Yousuf,4,,66.66,0.00,0,0.003,-0.3954531461,0.03954531461,,,
286,Adeel-ur-Rehman,4,4,80,0.03,0.1706666667,0.277,-0.3946513671,0.04034709367,,,
287,Gulfam Aziz,4,,33.33,0.00,0,0.003,-0.3954531461,0.03954531461,,,
288,Mehroz Ali,4,2,133.33,0.03,0.1422186667,0.275,-0.3947850136,0.04021344712,,,
289,Saleem Mal,4,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
290,Obaid Ullah,4,2,100,0.02,0.1066666667,0.258,-0.3949520342,0.04004642652,,,
291,Mohammad Mohsin,3,3,75,0.02,0.09,0.25,-0.395030333,0.03996812779,,,
292,Nauman Ali,3,1.5,23.07,0.00,0.013842,0.212,-0.3953881175,0.03961034328,,,
293,Usman Tariq,3,3,42.85,0.01,0.05142,0.239,-0.3952115789,0.03978688187,,,
294,Sohaibullah,3,1.5,37.5,0.00,0.0225,0.217,-0.3953474428,0.03965101791,,,
295,Sirajuddin,3,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
296,Ameer Hamza,3,,60,0.00,0,0.003,-0.3954531461,0.03954531461,,,
297,Usama Khalil,3,1.5,37.5,0.00,0.0225,0.217,-0.3953474428,0.03965101791,,,
298,Kamran Afzal,3,,150,0.00,0,0.003,-0.3954531461,0.03954531461,,,
299,Shoaib Akhtar,3,3,30,0.01,0.036,0.234,-0.3952840209,0.03971443988,,,
300,Bilawal Bhatti,3,3,75,0.02,0.09,0.25,-0.395030333,0.03996812779,,,
301,Ihsanullah,2,1,33.33,0.00,0.008888,0.201,-0.395411391,0.03958706976,,,
302,Atif Khan,2,2,33.33,0.00,0.017776,0.214,-0.3953696358,0.03962882491,,,
303,Daniyal Allah Ditta,2,2,25,0.00,0.01333333333,0.203,-0.3953905071,0.0396079536,,,
304,Zaki Shaz Khan,2,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
305,Muhammad Abbas,2,2,66.66,0.01,0.035552,0.225,-0.3952861255,0.03971233521,,,
306,Sadaqat Ali,2,1,50,0.00,0.01333333333,0.203,-0.3953905071,0.0396079536,,,
307,Asfand Mehran,2,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
308,Haris Khan,2,1,16.66,0.00,0.004442666667,0.181,-0.3954322748,0.03956618592,,,
309,Ali Haider,2,2,66.66,0.01,0.035552,0.225,-0.3952861255,0.03971233521,,,
310,Kashif Ali,2,1,25,0.00,0.006666666667,0.195,-0.3954218266,0.03957663411,,,
311,Najeebullah,1,,50,0.00,0,0.003,-0.3954531461,0.03954531461,,,
312,Mohammad Ibrahim,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
313,Athar Mahmood,1,,33.33,0.00,0,0.003,-0.3954531461,0.03954531461,,,
314,Mohammad Ayaz,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
315,Ziaullah,1,1,25,0.00,0.003333333333,0.176,-0.3954374864,0.03956097436,,,
316,Asad Raza,1,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
317,Asad Malik,1,1,25,0.00,0.003333333333,0.176,-0.3954374864,0.03956097436,,,
318,Mohammad Waheed,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
319,Usman Yousaf,1,1,20,0.00,0.002666666667,0.173,-0.3954406183,0.03955784241,,,
320,Hidayatullah,1,,16.66,0.00,0,0.003,-0.3954531461,0.03954531461,,,
321,Irfanullah Shah,1,1,50,0.00,0.006666666667,0.195,-0.3954218266,0.03957663411,,,
322,Faheem Rasheed,1,,25,0.00,0,0.003,-0.3954531461,0.03954531461,,,
323,Khayam Khan,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
324,Arafat Minhas,1,1,100,0.00,0.01333333333,0.203,-0.3953905071,0.0396079536,,,
325,Ehsan Adil,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
326,Taj Wali,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
327,Ashir Qureshi,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
328,Aarish Ali,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
329,Ghulam Mudassar,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
330,Zeeshan Zameer,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
331,Mohammad Irfan,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
332,Aimal Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
333,Mohammad Ikram,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
334,Asim Jutt,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
335,Majid Asghar,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
336,Mohammad Asghar,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
337,Waleed Azeem,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
338,Umair Afridi,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
339,Asif Ali,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
340,Aamer Khan,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
341,Ahmed Bashir,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
342,Tahir Hussain,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
343,Aqib Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
344,Mohammad Faizan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
345,Bakhtiar Shah,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
346,Zeeshan Tahir,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
347,Mohammad Sudais,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
348,Sabit Ali,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
349,Abdur Rahman,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
350,Bohir Aman,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
351,Shiraz Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
352,Rao Sajid Ali,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
353,Imran Shah,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
354,Abubakar,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
355,Shahzaib Bhatti,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
356,Awais Anwar,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
357,Sajid Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
358,Shakib Ali,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
359,Ali Shafiq,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
360,Ubaid Shah,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
361,Mohammad Zeeshan,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
362,Saad Baig,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
363,Tayyab Abbas,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,